word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"zmuszać",U,1.2692307,5.3461537,4.269231,4.230769,4.730769,9.840878,6.908986,7.932397,7.9781446,7.567589,7.7782645
"gadać",U,3.4230769,3.4230769,2.0384614,2.1923077,2.2692308,5.5267596,5.7671213,7.1976185,7.0483923,6.969683,4.905965
sceniczny,U,3.1538463,1.6923077,1.4615384,2.0,1.5769231,4.9299364,6.588648,6.816901,6.3121257,6.6654997,3.0885127
pulchny,U,2.2307692,3.1153846,3.0769231,2.5384614,3.0769231,6.939581,6.649857,6.6442366,7.1988344,6.5879183,5.1085987
forma,U,2.7692308,1.8076923,1.5769231,1.8846154,1.4230769,5.1347117,6.3441415,6.5894403,6.333786,6.727902,2.7772458
"odpuścić",U,2.5769231,3.3846154,3.0769231,2.4230769,2.1538463,6.3200126,6.070306,6.3701243,7.015028,7.2133665,5.002802
kierowca,U,3.6538463,2.4230769,1.8846154,3.3846154,1.5769231,5.4274817,6.8591022,7.2872953,5.91485,7.5130005,4.6527534
"rzeźnik",U,1.8461539,2.6538463,2.4230769,3.8461537,4.0384617,7.6449084,7.156077,7.406619,6.1105247,5.831335,5.515234
logiczny,U,4.0384617,1.7692307,1.4230769,1.4615384,1.3846154,3.7826838,6.7611094,7.076975,7.053385,7.1057205,3.6649396
pakt,U,2.6538463,2.5384614,2.3461537,2.8076923,1.8846154,6.101075,6.4641714,6.714749,6.3159585,7.0939984,4.043661
wydatki,U,1.5384616,4.3076925,3.9615386,4.1538463,2.7692308,8.624986,6.6352844,6.9983664,6.8597746,7.9668202,6.459086
"bóg",U,4.576923,2.1538463,2.5769231,3.1538463,1.8461539,4.832012,7.6363807,7.367187,6.8725057,7.939789,5.6633124
"pamiątka",U,4.923077,1.3846154,2.6923077,1.6153846,1.4615384,3.8785946,7.765096,6.6200595,7.5934505,7.6221867,4.9079037
"płynąć",U,4.3076925,1.6538461,2.0,3.3076923,1.5384616,4.6134214,7.879801,7.636823,6.4995227,7.9425426,5.2655773
fotel,U,4.269231,1.3846154,1.5,1.6153846,1.1923077,3.3241603,7.143777,7.05705,6.8467603,7.3136783,4.0568075
gruszkowy,U,3.8846154,1.3461539,1.2307693,1.2307693,1.3076923,3.4624875,6.8220596,6.938453,6.8933544,6.8237915,3.3820355
stereotypowy,U,1.6538461,3.6153846,2.5384614,2.6153846,3.4230769,7.6334276,5.976779,7.040176,7.0327015,6.245245,4.8958387
tata,U,4.8461537,2.3461537,2.1153846,1.8076923,1.5384616,3.6485887,7.195462,7.3598905,7.6611013,7.803067,5.3846684
